country,year,gov_exp,date,trade,growth,inf,inv_share,exp,_merge,code,income_cat
Albania,1990,,1990-01-01,39.4369634031142,-9.57564016993415,,,,both,ALB,LM
Algeria,1990,25.25974026,1990-01-01,48.3807136815584,0.800000580174981,16.6525343885432,18.7657435790016,,both,DZA,LM
Angola,1990,,1990-01-01,,-3.45009868500253,,0.0,,both,AGO,LM
Antigua and Barbuda,1990,18.88720508,1990-01-01,,3.01131852927168,,,,both,ATG,UM
Argentina,1990,10.99030018,1990-01-01,14.9908589999441,-2.46721377810472,,,10.3254404487432,both,ARG,LM
Aruba,1990,,1990-01-01,,3.96140172360629,5.83668775158166,,,both,ABW,H
Australia,1990,36.09859848,1990-01-01,32.1527144597396,3.57741096455418,7.33302195235872,24.407281389068,21.8157513040427,both,AUS,H
Austria,1990,51.50510025,1990-01-01,71.769481946408,4.34564169086904,3.26187231878578,,35.7312243774238,both,AUT,H
Azerbaijan,1990,,1990-01-01,83.0832196452933,,,,,both,AZE,
"Bahamas, The",1990,11.39642733,1990-01-01,110.120025268478,-1.59624908755521,4.66931912018676,,16.6108654453569,both,BHS,H
Bahrain,1990,33.73775322,1990-01-01,184.828804680899,4.43799717642609,0.929335437489093,,23.3026742138974,both,BHR,UM
Bangladesh,1990,9.137852508,1990-01-01,18.9665020125385,5.62225816160344,6.12671846981458,9.46781216031665,,both,BGD,L
Barbados,1990,,1990-01-01,,-3.30759330759331,3.07457271078017,,,both,BRB,UM
Belgium,1990,52.30759811,1990-01-01,121.467851074465,3.13740264106457,3.44831217961808,,,both,BEL,H
Belize,1990,,1990-01-01,79.4114959334734,11.4464944649447,3.05907172995786,,12.5495750708215,both,BLZ,LM
Benin,1990,18.12230992,1990-01-01,45.7201821451396,8.9761343599898,,8.56468694802783,,both,BEN,L
Bhutan,1990,38.51393435,1990-01-01,61.2162874391515,10.3831179126517,10.0118383223406,,21.4239137885413,both,BTN,L
Bolivia,1990,22.77613215,1990-01-01,46.7032725841847,4.63578742813276,17.1187746048239,,14.1920657191537,both,BOL,LM
