,country,year,gov_exp,date,trade,growth,inf,inv_share,_merge,code,income_cat,balanced
1,Algeria,1990,25.25974026,1990-01-01,48.3807136815584,0.800000580174981,16.6525343885432,18.7657435790016,both,DZA,LM,False
6,Australia,1990,36.09859848,1990-01-01,32.1527144597396,3.57741096455418,7.33302195235872,24.407281389068,both,AUS,H,True
11,Bangladesh,1990,9.137852508,1990-01-01,18.9665020125385,5.62225816160344,6.12671846981458,9.46781216031665,both,BGD,L,True
15,Benin,1990,18.12230992,1990-01-01,45.7201821451396,8.9761343599898,,8.56468694802783,both,BEN,L,True
21,Burkina Faso,1990,18.42248137,1990-01-01,35.4226504401749,-0.602928477580988,-0.504303388918912,9.69948226759376,both,BFA,L,False
33,"Congo, Rep.",1990,30.43708631,1990-01-01,70.8193543307087,1.00000356627487,2.88905374216947,14.5275590551181,both,COG,LM,False
44,El Salvador,1990,15.87739801,1990-01-01,49.6156277783176,4.83290057793786,23.9991651130861,11.125800258791,both,SLV,LM,True
52,Gabon,1990,22.59269934,1990-01-01,76.8974453905961,5.19223727652398,7.72532188841208,17.5799086757991,both,GAB,UM,False
55,Ghana,1990,7.096366167,1990-01-01,42.7281781307805,3.32881788321653,37.2590664855671,6.92110698144671,both,GHA,L,False
59,Guinea,1990,18.71717188,1990-01-01,44.2481030022452,4.3240627548313,,6.67448481167946,both,GIN,L,False
64,"Hong Kong SAR, China",1990,13.83881529,1990-01-01,226.000240297969,3.83055978129279,10.4265402843602,22.8251365025966,both,HKG,H,True
73,Jamaica,1990,23.17964568,1990-01-01,99.9401719360276,4.2005351147029,21.9601751165083,21.158794571572,both,JAM,LM,False
78,"Korea, Rep.",1990,15.15289974,1990-01-01,50.7503133784944,9.8775525016936,8.57327225728677,32.0718581624502,both,KOR,UM,True
82,Lebanon,1990,39.97931318,1990-01-01,117.905808025004,26.5331600932491,,30.6547229362514,both,LBN,LM,True
85,Madagascar,1990,13.34573643,1990-01-01,32.3809923743425,3.12890505042525,11.7844838321357,31.0861905205108,both,MDG,L,True
86,Malaysia,1990,30.52454428,1990-01-01,146.888252533989,9.00852713774628,2.61780104712051,21.888462475122,both,MYS,LM,True
89,Mexico,1990,16.56629944,1990-01-01,38.5196964133297,5.25004329944582,26.6516725646771,13.6809910245365,both,MEX,UM,True
104,Oman,1990,36.50863284,1990-01-01,61.2372503810231,-0.130425738129333,,4.42377584118176,both,OMN,UM,False
105,Pakistan,1990,23.92160034,1990-01-01,35.034575900498,4.45858681510218,9.05213155279776,13.9191511584299,both,PAK,L,True
106,Panama,1990,41.46049881,1990-01-01,121.793552873367,8.09899300707535,0.769485354956023,6.67888256187823,both,PAN,LM,False
122,Seychelles,1990,46.06273194,1990-01-01,62.5764814210132,7.45476632743625,3.88888888888912,7.99795289464009,both,SYC,UM,True
126,South Africa,1990,28.70219994,1990-01-01,38.2118009241798,-0.317760426540374,14.320955727722,14.2695943604792,both,ZAF,UM,True
128,Sri Lanka,1990,25.35264482,1990-01-01,68.243915172911,6.39999531084838,21.495252052759,17.9965442657186,both,LKA,L,False
135,Thailand,1990,16.55879974,1990-01-01,75.7823643645399,11.1671634446293,5.86399474375828,34.2424836692386,both,THA,LM,True
139,Turkiye,1990,14.06699371,1990-01-01,30.9429955004348,9.26614667149323,60.3038691346446,15.6177857742911,both,,,False
145,Uruguay,1990,21.1406002,1990-01-01,41.6284721190914,0.297348378681562,112.525905573023,9.34659346138281,both,URY,UM,False
150,"Yemen, Rep.",1990,26.63623689,1990-01-01,27.6276662296057,,,3.31580583679152,both,YEM,LM,False
154,Algeria,1991,29.94089072,1991-01-01,52.7175867077307,-1.20000058514485,25.8863869348513,19.7039673995908,both,DZA,LM,False
159,Australia,1991,38.09328079,1991-01-01,32.1891884083095,-0.382260201054848,3.17667536988685,21.2786397388114,both,AUS,H,True
164,Bangladesh,1991,8.862055408,1991-01-01,18.8898268850747,3.48522781598027,6.35736412278234,10.26509496452,both,BGD,L,True
168,Benin,1991,17.22628426,1991-01-01,51.3447168355486,4.22579942071668,,9.28908472308183,both,BEN,L,True
174,Burkina Faso,1991,16.96855283,1991-01-01,33.7962364263647,9.06998445877436,2.16260052713421,10.9337435567557,both,BFA,L,False
186,"Congo, Rep.",1991,34.08036208,1991-01-01,69.6845429946663,2.39536745255616,-1.67834968956537,18.7589436711331,both,COG,LM,False
197,El Salvador,1991,18.53459601,1991-01-01,47.7534309263615,1.49408756791307,14.4026748806266,12.341895303703,both,SLV,LM,True
205,Gabon,1991,25.08368556,1991-01-01,80.5349385481311,6.11250348301178,-11.6861126920888,20.8829416133436,both,GAB,UM,False
208,Ghana,1991,7.638679982,1991-01-01,42.4883492637987,5.28182639834429,18.0314390089849,7.5298791487146,both,GHA,L,False
212,Guinea,1991,16.29161411,1991-01-01,41.7787115678445,2.61342300409642,,6.82841049298324,both,GIN,L,False
217,"Hong Kong SAR, China",1991,12.80910903,1991-01-01,231.865133953304,5.70197687360756,11.1587982832617,23.2668376431856,both,HKG,H,True
226,Jamaica,1991,20.41363194,1991-01-01,101.598788796013,4.83823875324414,51.0710977304313,18.9436042902464,both,JAM,LM,False
231,"Korea, Rep.",1991,15.38269997,1991-01-01,49.8250791504987,10.7780561268967,9.33279048161495,32.9877256412974,both,KOR,UM,True
235,Lebanon,1991,35.586532,1991-01-01,92.4546720066934,49.4473791849141,,27.8186220159819,both,LBN,LM,True
238,Madagascar,1991,13.48314876,1991-01-01,35.7567980580415,-6.30635159237733,8.59264760490192,27.2366433794094,both,MDG,L,True
239,Malaysia,1991,27.3931833,1991-01-01,159.311447263255,9.54546741443052,4.358333333333,24.0208993221041,both,MYS,LM,True
242,Mexico,1991,13.90649986,1991-01-01,35.7865351574196,3.97590497138043,22.662359455061,14.6536875774364,both,MEX,UM,True
257,Oman,1991,37.44820312,1991-01-01,62.7126492319462,6.07407790816865,,4.52779287713153,both,OMN,UM,False
258,Pakistan,1991,21.41259956,1991-01-01,35.4196551048403,5.06156775897861,11.7912703351416,13.7322163433275,both,PAK,L,True
259,Panama,1991,20.91320038,1991-01-01,140.246558305042,9.41900577419628,1.25626077674688,10.7476420649965,both,PAN,LM,False
273,Saudi Arabia,1991,34.94585763,1991-01-01,74.6992988351616,8.2207535227478,4.86111111111136,15.5001454028467,both,SAU,UM,False
